mission,en,de,fr,jp
71,A-1: Meteoric Material Test Processing,A-1: Meteoreisen-Inspektion,A-1 : Traitement expérimental de fragments de météorites,A-1：隕鉄素材の加工検証
72,A-2: Replica Far Eastern Furnishings,A-2: Nachbau fernöstlicher Einrichtung,A-2 : Reproduction de mobilier oriental,A-2：東方調度品の再現依頼
73,A-2: Fine-grade Material Processing,A-2: Präzise Materialien,A-2 : Ouvrage minutieux de matériaux,A-2：精密な素材加工
74,A-2: Moongate Hub Equipment,A-2: Mondtor-Station-Ersatzausstattung,A-2 : Approvisionnement en matériel pour la station,A-2：ムーンゲート基地の備品補充
75,A-2: Work Support Equipment,A-2: Arbeitsunterstützungsvorrichtungen,A-2 : Équipement d'aide à l'artisanat,A-2：作業補助設備の製作
76,A-3: High-durability Material Processing,A-3: Erhöhung der Materialbelastung,A-3 : Traitement d'amélioration de la durabilité,A-3：素材の高耐久化加工
77,A-3: Impact-resistant Material Processing,A-3: Erhöhung der Material-Schockresistenz,A-3 : Traitement anti-chocs,A-3：素材の対衝撃化加工
78,A-1: Hub Furnishings and Fixtures I,A-1: Station-Möbelstücke I,A-1 : Préparation de mobilier pour infrastructure,A-1：基地内の家具備品製作
79,A-2: Hub Furnishings and Fixtures II,A-2: Station-Möbelstücke II,A-2 : Amélioration de mobilier pour infrastructure,A-2：続・基地内の家具備品製作
80,A-1: Specialized Materials I,A-1: Verfeinerungsmaterialien I,A-1 : Préparation de matériaux de perfectionnement,A-1：性質特化素材の調達
81,A-2: Specialized Materials II,A-2: Verfeinerungsmaterialien II,A-2 : Amélioration de matériaux de perfectionnement,A-2：続・性質特化素材の調達
82,A-3: Research Water Tank,A-3: Großer Forschungs-Wasserspeicher,A-3 : Grand bassin pour la recherche,A-3：研究用大型水槽の製作
83,A-2: Starship Building Materials,A-2: Raumschiff-Materialien,A-2 : Matériaux pour vaisseau spatial,A-2：宇宙船建造用の素材製作
84,A-3: Starship Building Material Processing,A-3: Raumschiff-Materialien-Veredelung,A-3 : Traitement de matériaux pour vaisseau spatial,A-3：宇宙船建造用の素材加工
85,A-1: High-performance Drone Materials I,A-1: Hochfunktionsdrohnen-Materialien I,A-1 : Préparation de matériaux pour drones ultraperformants,A-1：高機能ドローンの素材製作
86,A-2: High-performance Drone Materials II,A-2: Hochfunktionsdrohnen-Materialien II,A-2 : Amélioration de matériaux pour drones ultraperformants,A-2：続・高機能ドローンの素材製作
87,A-3: High-performance Drones,A-3: Hochfunktionsdrohnen,A-3 : Conception de drones ultraperformants,A-3：高機能ドローンの製作
88,A-3: Cosmotized Equipment Materials I,A-3: Spezialausrüstungs-Materialien I,A-3 : Préparation de matériaux pour machine d'un nouveau genre,A-3：特種装備素材の製作
89,A-3: Cosmotized Equipment Materials II,A-3: Spezialausrüstungs-Materialien II,A-3 : Amélioration de matériaux pour machine d'un nouveau genre,A-3：続・特種装備素材の製作
90,A-3: Cosmotized Equipment Materials III,A-3: Spezialausrüstung (Feinschliff),A-3 : Perfectionnement de la machine d'un nouveau genre,A-3：特種装備の製作 最終工程
91,Multi-purpose Plating,Projektplatten,Plaques multi-usage,汎用装甲板の製作
92,Spare Starship Parts,Ersatzteile (Raumschiff),Pièces de rechange pour vaisseau,宇宙船用の予備部品製作
93,Alloy Inspection,Legierungsinspektion,Étude de fabrication d'alliages,合金製作の検証
94,Custom Parts (Simple),Anpassungsteile (Klasse I),Pièces adaptables simples,初級カスタマイズ部品の製作
95,Multi-purpose Metal Components,Metallteile,Pièces métalliques multi-usage,汎用金属部品の製作
96,Mass-produced Necessities,Bedarfsartikel-Massenproduktion,Grosse production d'articles de première nécessité,必需品の大量生産
97,Standardized Heavy Plating,Dicke Projektplatten,Plaques épaisses standard,規格厚型装甲板の製作
98,Starship Shafts,Triebachsen (Raumschiff),Axes de transmission pour vaisseau spatial,宇宙船用の動力伝導軸
99,Worker's Culinary Tools I,Arbeiter-Gourmetzeug I,Préparation d'outils de cuisine,作業員用調理道具の調達
100,Standardized Chainmail Sheets,Ringplatten,Cadènes standard,規格チェーンプレートの製作
101,Dust-filtering Equipment,Staubfeste Ausrüstung,Équipements anti-poussière,防塵装備の調達
102,Custom Parts (Intermediate),Anpassungsteile (Klasse II),Pièces adaptables intermédiaires,中級カスタマイズ部品の製作
103,Insulated Equipment,Isolierungsvorrichtungen,Équipements isolants,断熱設備の製作
104,Rover Parts,Einzelteile (Vehikel),Pièces pour rover,ローバー用の部品製作
105,Standardized Light Plating,Dünne Projektplatten,Plaques fines standard,規格薄型装甲板の製作
106,Worker's Culinary Tools II,Arbeiter-Gourmetzeug II,Amélioration d'outils de cuisine,続・作業員用調理道具の調達
107,Beverage Stations,Café-Einrichtung,Mobilier pour salon de thé,喫茶用調度品の製作
108,Campfire Fixtures,Außenfeuerstelle,Feux de camp pour activités en extérieur,屋外用焚火炉の製作
109,Habitation Storage,Habitationsmodul-Schuppen,Équipements de rangement pour habitation,居住区用収納設備の製作
110,Lunar Material Tool Processing,Veredlung von Mondwerkzeugen,Élaboration d'outils en matériaux séléniens,月面産素材の道具加工依頼
111,Lunar Material Part Processing,Veredlung von Mondgüterbauteilen,Élaboration de pièces en matériaux séléniens,月面産素材の部品加工依頼
112,A-1: Key Facility Plating,A-1: Stationsstruktur-Projektplatten,A-1 : Plaques pour infrastructure cruciale,A-1：重要施設用装甲板の製作
113,A-1: Rare Material Processing,A-1: Seltene Materialien,A-1 : Traitement de ressources rares,A-1：希少素材の加工
114,A-1: Construction Necessities,A-1: Ersatz für Einrichtungsbauartikel,A-1 : Approvisionnement en pièces pour infrastructure,A-1：設備工事の必需品補充
115,A-1: High-conductivity Culinary Tools,A-1: Hyperleiter-Gourmetzeug,A-1 : Outils de cuisine à haute conductivité,A-1：高伝導調理道具の調達依頼
116,A-1: Meteoric Material Test Processing,A-1: Meteoreisen-Inspektion,A-1 : Traitement expérimental de fragments de météorites,A-1：隕鉄素材の加工検証
117,A-2: Replica Incensories,A-2: Räuchergefäß-Nachbau,A-2 : Reproduction d'encensoir,A-2：香炉の再現依頼
118,A-2: Fine-grade Material Processing,A-2: Präzise Materialien,A-2 : Ouvrage minutieux de matériaux,A-2：精密な素材加工
119,A-2: Moongate Hub Equipment,A-2: Mondtor-Station-Ersatzausstattung,A-2 : Approvisionnement en matériel pour la station,A-2：ムーンゲート基地の備品補充
120,A-2: Workspace Lighting,A-2: Arbeitsbeleuchtung-Sicherstellung,A-2 : Éclairages pour lieu de travail,A-2：作業場の照度確保
121,A-3: High-durability Material Processing,A-3: Erhöhung der Materialbelastung,A-3 : Traitement d'amélioration de la durabilité,A-3：素材の高耐久化加工
122,A-3: Impact-resistant Material Processing,A-3: Erhöhung der Material-Schockresistenz,A-3 : Traitement anti-chocs,A-3：素材の対衝撃化加工
123,A-1: Hub Furnishings and Fixtures I,A-1: Station-Möbelstücke I,A-1 : Préparation de mobilier pour infrastructure,A-1：基地内の家具備品製作
124,A-2: Hub Furnishings and Fixtures II,A-2: Station-Möbelstücke II,A-2 : Amélioration de mobilier pour infrastructure,A-2：続・基地内の家具備品製作
125,A-1: Specialized Materials I,A-1: Verfeinerungsmaterialien I,A-1 : Préparation de matériaux de perfectionnement,A-1：性質特化素材の調達
126,A-2: Specialized Materials II,A-2: Verfeinerungsmaterialien II,A-2 : Amélioration de matériaux de perfectionnement,A-2：続・性質特化素材の調達
127,A-3: Priority Sample Storage,A-3: Probenspeicher,A-3 : Coffres-forts pour préservation d'échantillons cruciaux,A-3：重要サンプル保管庫の製作
128,A-2: Starship Building Materials,A-2: Raumschiff-Materialien,A-2 : Matériaux pour vaisseau spatial,A-2：宇宙船建造用の素材製作
129,A-3: Starship Building Material Processing,A-3: Raumschiff-Materialien-Veredelung,A-3 : Traitement de matériaux pour vaisseau spatial,A-3：宇宙船建造用の素材加工
130,A-1: High-performance Drone Materials I,A-1: Hochfunktionsdrohnen-Materialien I,A-1 : Préparation de matériaux pour drones ultraperformants,A-1：高機能ドローンの素材製作
131,A-2: High-performance Drone Materials II,A-2: Hochfunktionsdrohnen-Materialien II,A-2 : Amélioration de matériaux pour drones ultraperformants,A-2：続・高機能ドローンの素材製作
132,A-3: High-performance Drones,A-3: Hochfunktionsdrohnen,A-3 : Conception de drones ultraperformants,A-3：高機能ドローンの製作
133,A-3: Cosmotized Equipment Materials I,A-3: Spezialausrüstungs-Materialien I,A-3 : Préparation de matériaux pour machine d'un nouveau genre,A-3：特種装備素材の製作
134,A-3: Cosmotized Equipment Materials II,A-3: Spezialausrüstungs-Materialien II,A-3 : Amélioration de matériaux pour machine d'un nouveau genre,A-3：続・特種装備素材の製作
135,A-3: Cosmotized Equipment Materials III,A-3: Spezialausrüstung (Feinschliff),A-3 : Perfectionnement de la machine d'un nouveau genre,A-3：特種装備の製作 最終工程
136,Multi-purpose Plating,Projektplatten,Plaques multi-usage,汎用装甲板の製作
137,Spare Starship Parts,Ersatzteile (Raumschiff),Pièces de rechange pour vaisseau,宇宙船用の予備部品製作
138,Alloy Inspection,Legierungsinspektion,Étude de fabrication d'alliages,合金製作の検証
139,Custom Parts (Simple),Anpassungsteile (Klasse I),Pièces adaptables simples,初級カスタマイズ部品の製作
140,Multi-purpose Metal Components,Metallteile,Pièces métalliques multi-usage,汎用金属部品の製作
141,Mass-produced Necessities,Bedarfsartikel-Massenproduktion,Grosse production d'articles de première nécessité,必需品の大量生産
142,Standardized Heavy Plating,Dicke Projektplatten,Plaques épaisses standard,規格厚型装甲板の製作
143,Starship Shafts,Triebachsen (Raumschiff),Axes de transmission pour vaisseau spatial,宇宙船用の動力伝導軸
144,Worker's Grinding Tools,Arbeiter-Schleifwerkzeug,Outils de polissage,作業員用研磨道具の調達
145,Standardized Chainmail Sheets,Ketten,Chaînes standard,規格チェーンの製作
146,Eye Protection Equipment,Augenschutz-Ausrüstung,Protections pour les yeux,眼球保護装備の調達
147,Custom Parts (Intermediate),Anpassungsteile (Klasse II),Pièces adaptables intermédiaires,中級カスタマイズ部品の製作
148,Heat Dissipation Equipment,Abwärmevorrichtungen,Équipements thermorésistants,排熱設備の製作
149,Rover Parts,Einzelteile (Vehikel),Pièces pour rover,ローバー用の部品製作
150,Standardized Light Plating,Dünne Projektplatten,Plaques fines standard,規格薄型装甲板の製作
151,Worker's Weaving Tools,Arbeiter-Nähwerkzeug,Nécessaire de couture,作業員用裁縫道具の調達
152,Observation Devices,Observations-Einrichtung,Mobilier d'observation,観測用調度品の製作
153,Fireplace Fixtures,Innenfeuerstelle,Cheminées pour intérieur,屋内用暖炉の製作
154,Habitation Vanities,Habitationsmodul-Schminkspiegel,Miroirs de maquillage pour habitation,居住区用化粧鏡の製作
155,Lunar Material Tool Processing,Veredlung von Mondwerkzeugen,Élaboration d'outils en matériaux séléniens,月面産素材の道具加工依頼
156,Lunar Material Part Processing,Veredlung von Mondgüterbauteilen,Élaboration de pièces en matériaux séléniens,月面産素材の部品加工依頼
157,A-1: Key Facility Plating,A-1: Stationsstruktur-Projektplatten,A-1 : Plaques pour infrastructure cruciale,A-1：重要施設用装甲板の製作
158,A-1: Rare Material Processing,A-1: Seltene Materialien,A-1 : Traitement de ressources rares,A-1：希少素材の加工
159,A-1: Construction Necessities,A-1: Einrichtungsbauartikel,A-1 : Approvisionnement en pièces pour infrastructure,A-1：設備工事の必需品補充
160,A-1: Fine-grade Knives,A-1: Präzise Messer,A-1 : Couteaux de précision,A-1：精密ナイフの調達依頼
161,A-1: Meteoric Material Test Processing,A-1: Meteoreisenveredelungs-Inspektion,A-1 : Traitement expérimental de fragments de météorites,A-1：隕鉄素材の加工検証
162,A-2: Replica Bathing Fixtures,A-2: Badeeinrichtungs-Nachbau,A-2 : Reproduction de mobilier de bain,A-2：入浴用調度品の再現依頼
163,A-2: Fine-grade Material Processing,A-2: Präzise Materialien,A-2 : Ouvrage minutieux de matériaux,A-2：精密な素材加工
164,A-2: Moongate Hub Equipment,A-2: Mondtor-Station-Ersatzausstattung,A-2 : Approvisionnement en matériel pour la station,A-2：ムーンゲート基地の備品補充
165,A-2: Work Support Mechanical Arms,A-2: Arbeitsunterstützung-Arm,A-2 : Bras mécaniques pour aide au labeur,A-2：作業補助用パワーアームの製作
166,A-3: High-durability Material Processing,A-3: Erhöhung der Materialbelastung,A-3 : Traitement d'amélioration de la durabilité,A-3：素材の高耐久化加工
167,A-3: Impact-resistant Material Processing,A-3: Erhöhung der Material-Schockresistenz,A-3 : Traitement anti-chocs,A-3：素材の対衝撃化加工
168,A-1: Hub Furnishings and Fixtures I,A-1: Station-Möbelstücke I,A-1 : Préparation de mobilier pour infrastructure,A-1：基地内の家具備品製作
169,A-2: Hub Furnishings and Fixtures II,A-2: Station-Möbelstücke II,A-2 : Amélioration de mobilier pour infrastructure,A-2：続・基地内の家具備品製作
170,A-1: Specialized Materials I,A-1: Verfeinerungsmaterialien I,A-1 : Préparation de matériaux de perfectionnement,A-1：性質特化素材の調達
171,A-2: Specialized Materials II,A-2: Verfeinerungsmaterialien II,A-2 : Amélioration de matériaux de perfectionnement,A-2：続・性質特化素材の調達
172,A-3: Vending Machines,A-3: Automaten,A-3 : Distributeurs automatiques,A-3：自動販売機の製作
173,A-2: Starship Building Materials,A-2: Raumschiff-Materialien,A-2 : Matériaux pour vaisseau spatial,A-2：宇宙船建造用の素材製作
174,A-3: Starship Building Material Processing,A-3: Raumschiff-Materialien-Veredelung,A-3 : Traitement de matériaux pour vaisseau spatial,A-3：宇宙船建造用の素材加工
175,A-1: High-performance Drone Materials I,A-1: Hochfunktionsdrohnen-Materialien I,A-1 : Préparation de matériaux pour drones ultraperformants,A-1：高機能ドローンの素材製作
176,A-2: High-performance Drone Materials II,A-2: Hochfunktionsdrohnen-Materialien II,A-2 : Amélioration de matériaux pour drones ultraperformants,A-2：続・高機能ドローンの素材製作
177,A-3: High-performance Drones,A-3: Hochfunktionsdrohnen,A-3 : Conception de drones ultraperformants,A-3：高機能ドローンの製作
178,A-3: Cosmotized Equipment Materials I,A-3: Spezialausrüstungs-Materialien I,A-3 : Préparation de matériaux pour machine d'un nouveau genre,A-3：特種装備素材の製作
179,A-3: Cosmotized Equipment Materials II,A-3: Spezialausrüstungs-Materialien II,A-3 : Amélioration de matériaux pour machine d'un nouveau genre,A-3：続・特種装備素材の製作
180,A-3: Cosmotized Equipment Materials III,A-3: Spezialausrüstung (Feinschliff),A-3 : Perfectionnement de la machine d'un nouveau genre,A-3：特種装備の製作 最終工程
181,Multi-purpose Leather Straps,Lederriemen,Lanières de cuir multi-usage,汎用革紐の製作
182,First-aid Leather,Notfall-Ledertücher,Cuir de première nécessité,救急用革布の製作
183,Gatherer's Gloves,Sammler-Handschutz,Protège-mains pour la récolte,採集用手防具の製作
184,Essential Research Materials,Forschungsmaterialien,Matériaux pour la recherche,研究用必須素材の調達
185,Work Pouches,Arbeiter-Beutel,Sacoches de travail,作業用ポーチの製作
186,Leather Room Shoes,Leder-Hausschuhe,Chaussures en cuir d'intérieur,室内用レザーシューズの製作
187,Heat-resistant Leather String,Hitzebeständige Lederriemen,Lanières de cuir thermorésistantes,耐熱性革紐の製作
188,Worker's Bags,Große Arbeiter-Taschen,Bagages grande capacité,作業員用大型鞄の製作
189,Worker's Belts,Arbeiter-Gürtel,Ceintures de travail,作業員用ベルトの製作
190,High-grade Paper,Hochwertiges Papier,Papier d'excellente qualité,高級紙の製作
191,Sheep Rugs,Schafs-Unterlagen,Tapis moutonneux,シープ型敷物の製作
192,Cosmoliner Materials,Kosmozapper-Rohmaterialien,Matériaux pour cosmo-navette,コスモライナー用の基本素材調達
193,New Material Jackets,Prototyp-Jacken,Jaques en matière nouvelle,新素材を用いたジャケット製作
194,Leather First-aid Bags,Notfall-Lederbeutel,Sacs en cuir de première nécessité,救急用革袋の製作
195,Sterile Leather String,Antibakterielle Lederriemen,Lanières de cuir bactéricides,抗菌性革紐の製作
196,High-grade Rugs,Hochwertige Unterlage,Décorations de sol d'excellente qualité,高級敷物の製作
197,Transport Leather,Transport-Leder,Cuir pour le transport de ressources,資材運搬用レザーの製作
198,Long-term Storage Paper,Papier zur Langzeitlagerung,Papier pour conservation longue durée,長期保存用紙の製作
199,High-grade Rest Chairs,Hochwertiger Pausen-Stuhl,Mobilier de relaxation d'excellente qualité,休憩用の高級椅子製作
200,Test Material Gloves,Experimentelle Handschuhe,Gants en matériaux expérimentaux,試験素材を用いたグローブ製作
201,High-grade Rest Lounges,Hochwertiger Pausen-Sessel,Mobilier de relaxation d'excellente qualité,休憩用の高級長椅子製作
202,A-1: High-durability Leather String,A-1: Hochbelastbare Lederriemen,A-1 : Lanières de cuir résistantes,A-1：高耐久革紐の製作
203,A-1: High-grade Paper,A-1: Premium-Papier,A-1 : Papier de qualité supérieure,A-1：最高級紙の製作
204,A-1: Research Plant Rug,A-1: Forschungs-Pflanzenteppiche,A-1 : Parquet en fibres végétales pour la recherche,A-1：研究用の植物ラグの製作
205,A-1: Thermal Leather,A-1: Wärmespeichernde Ledertücher,A-1 : Cuir isotherme,A-1：保温性の革布製作
206,A-1: Lunar Flora Test Processing,A-1: Mondpflanzen-Inspektion,A-1 : Traitement expérimental de végétaux lunaires,A-1：月面植物の加工検証
207,A-2: Test Material Final Processing,A-2: Final-Inspektion für Prüfmaterialien,A-2 : Traitement final de matériaux d'essai,A-2：試験用素材の最終加工検証
208,A-2: Work Pouches,A-2: Kleine Arbeiter-Beutel,A-2 : Petites sacoches de travail,A-2：作業用小型ポーチの製作
209,A-2: High-grade Sofas,A-2: Hochwertige Sofas,A-2 : Sofas d'excellente qualité,A-2：高級ソファの製作
210,A-2: Familiar Furnishings,A-2: Heimatliche Einrichtung,A-2 : Mobilier typique,A-2：郷土調度品の製作
211,A-3: Safety Shoes,A-3: Arbeiter-Sicherheitsschuhe,A-3 : Chaussures de sécurité,A-3：作業用安全靴の製作
212,A-3: Gatherer's Overalls,A-3: Sammler-Arbeitskleidung,A-3 : Habits de récolte,A-3：採集用作業着の製作
213,A-1: Base Supplies I,A-1: Basis-Ausstattung I,A-1 : Préparation de matériel pour poste avancé,A-1：拠点備品の製作
214,A-2: Base Supplies II,A-2: Basis-Ausstattung II,A-2 : Amélioration de matériel pour poste avancé,A-2：続・拠点備品の製作
215,A-1: Specialized Materials I,A-1: Verfeinerungsmaterialien I,A-1 : Préparation de matériaux de raffinement,A-1：性質特化素材の調達
216,A-2: Specialized Materials II,A-2: Verfeinerungsmaterialien II,A-2 : Amélioration de matériaux de raffinement,A-2：続・性質特化素材の調達
217,A-3: Large Research Materials,A-3: Forschungs-Großmaterialien,A-3 : Matériaux de grande taille pour la recherche,A-3：研究用大型素材の製作
218,A-2: Rest Facility Materials,A-2: Pausenraum-Materialien,A-2 : Matériaux pour articles de relaxation,A-2：休憩施設用素材の製作
219,A-3: Rest Facility Furnishings,A-3: Pausenraum-Einrichtung,A-3 : Mobilier de relaxation,A-3：休憩施設用調度品の製作
220,A-1: Packing Materials I,A-1: Verpackungsmaterialien I,A-1 : Préparation de matériaux pour conteneurs,A-1：貨物梱包素材の製作
221,A-2: Packing Materials II,A-2: Verpackungsmaterialien II,A-2 : Amélioration de matériaux pour conteneurs,A-2：続・貨物梱包素材の製作
222,A-3: Rover Packing Materials,A-3: Verpackungsmaterialien (Vehikel),A-3 : Conteneurs de fret pour rovers,A-3：ローバー用貨物梱包材の製作
223,A-3: Cosmic Suits I,A-3: Raumanzug I,A-3 : Préparation de combinaisons cosmiques,A-3：スペーススーツの製作
